,Major capsid,Minor capsid,Baseplate,Major tail,Minor tail,Portal,Tail fiber,Tail shaft,Collar,HTJ,Other
baseplate_1,0.21,0.00,9.03,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.70
baseplate_2,0.00,0.00,9.12,0.06,0.02,0.01,0.04,0.00,0.00,0.00,0.75
baseplate_3,0.01,0.00,9.24,0.04,0.03,0.02,0.11,0.00,0.00,0.00,0.56
baseplate_4,0.01,0.00,9.61,0.01,0.00,0.01,0.03,0.00,0.00,0.00,0.32
baseplate_5,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
baseplate_6,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
baseplate_7,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
baseplate_8,0.01,0.00,9.09,0.03,0.01,0.00,0.02,0.00,0.00,0.00,0.84
baseplate_9,0.02,0.00,9.02,0.08,0.02,0.01,0.02,0.00,0.00,0.00,0.83
baseplate_10,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
baseplate_11,0.00,0.00,9.90,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.07
baseplate_12,0.00,0.00,9.12,0.06,0.06,0.02,0.13,0.00,0.00,0.00,0.62
baseplate_13,0.02,0.00,9.06,0.02,0.01,0.00,0.03,0.00,0.00,0.00,0.84
baseplate_14,0.04,0.00,9.07,0.04,0.01,0.02,0.01,0.00,0.00,0.00,0.82
baseplate_15,0.09,0.00,9.06,0.02,0.00,0.01,0.00,0.00,0.00,0.01,0.81
baseplate_16,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
baseplate_17,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
baseplate_18,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90
baseplate_19,0.01,0.00,9.67,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.30
baseplate_20,0.00,0.00,9.87,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.11
baseplate_21,0.02,0.00,9.63,0.01,0.01,0.01,0.14,0.00,0.00,0.00,0.18
baseplate_22,0.00,0.00,9.17,0.07,0.01,0.00,0.04,0.00,0.00,0.00,0.71
baseplate_23,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
baseplate_24,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
baseplate_25,0.00,0.00,9.14,0.05,0.00,0.00,0.05,0.00,0.00,0.00,0.76
baseplate_26,0.13,0.00,9.03,0.04,0.01,0.05,0.07,0.00,0.00,0.01,0.67
baseplate_27,0.01,0.00,9.29,0.07,0.01,0.00,0.06,0.00,0.00,0.00,0.55
baseplate_28,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
baseplate_29,0.02,0.00,9.23,0.03,0.02,0.01,0.03,0.00,0.00,0.00,0.67
baseplate_30,0.01,0.00,9.26,0.05,0.01,0.00,0.04,0.00,0.00,0.00,0.64
baseplate_31,0.00,0.00,9.40,0.07,0.01,0.00,0.09,0.00,0.00,0.00,0.43
baseplate_32,0.00,0.00,9.17,0.05,0.00,0.00,0.04,0.00,0.00,0.00,0.73
baseplate_33,0.00,0.00,9.05,0.04,0.01,0.00,0.01,0.00,0.00,0.00,0.88
baseplate_34,0.00,0.00,9.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07
baseplate_35,0.00,0.00,9.08,0.04,0.00,0.00,0.02,0.00,0.00,0.00,0.85
baseplate_36,0.00,0.00,9.10,0.04,0.01,0.00,0.04,0.00,0.00,0.00,0.81
baseplate_37,0.22,0.00,9.73,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02
baseplate_38,0.02,0.00,6.51,0.12,0.24,0.00,0.74,1.90,0.00,0.00,0.46
baseplate_39,0.06,0.00,5.97,0.17,0.17,0.01,0.65,2.23,0.00,0.00,0.73
